beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.2,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,165,187,600,600,medium,32,4,1,64,600,600,1.1927428755766019,0.05230102189421076,0.0404093244274028,0.023871710224365208
0.2,104,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,165,187,600,600,medium,32,4,1,64,600,600,0.9384175356806467,0.05139437550979989,0.04160077428290548,0.025707090804804794
0.2,104,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,165,187,600,600,medium,32,4,1,64,600,600,1.3804192294096038,0.04785275317383876,0.03727116306640946,0.02250512825378815
0.2,104,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,165,187,600,600,medium,32,4,1,64,600,600,1.5365655301175591,0.0349886927518193,0.028443070717836416,0.01847248812718574
0.2,105,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,169,191,600,600,medium,32,4,1,64,600,600,0.5482262708323961,0.06807759656246128,0.048458119011609804,0.02581890244345921
0.2,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,169,191,600,600,medium,32,4,1,64,600,600,0.8101959058773582,0.05408640856687913,0.044250428591904555,0.027525661603071894
0.2,105,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,169,191,600,600,medium,32,4,1,64,600,600,0.8750601799051063,0.05009403875541277,0.04098086816371094,0.0258137648236914
0.2,105,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,169,191,600,600,medium,32,4,1,64,600,600,1.1171223936588817,0.04484411252515201,0.035366200786139286,0.02193022200297862
0.2,105,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,169,191,600,600,medium,32,4,1,64,600,600,1.524955261614532,0.034975446723259765,0.028208288142542365,0.018163297439539226
0.2,106,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,166,191,600,600,medium,32,4,1,64,600,600,0.5781283444035248,0.0724009460329351,0.05061075977148684,0.02659206098508181
0.2,106,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,166,191,600,600,medium,32,4,1,64,600,600,0.8466022310744,0.05495390791604295,0.04405933041794061,0.02681254684428769
0.2,106,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,166,191,600,600,medium,32,4,1,64,600,600,0.9769605895453211,0.052077699043673376,0.04142852516690399,0.02524231385828965
0.2,106,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,166,191,600,600,medium,32,4,1,64,600,600,1.400671083843395,0.03754910035813335,0.030403100398876063,0.019309994341165766
0.2,106,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,166,191,600,600,medium,32,4,1,64,600,600,1.5349879409432572,0.04129980008545984,0.032436892666338285,0.020263767556764373
0.2,107,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,173,186,600,600,medium,32,4,1,64,600,600,0.5541518382195716,0.07360213986425287,0.05256378371878074,0.027636780803857515
0.2,107,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,173,186,600,600,medium,32,4,1,64,600,600,0.8168078409315536,0.053206306075496014,0.04390313864958159,0.027689316578515383
0.2,107,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,173,186,600,600,medium,32,4,1,64,600,600,0.9382198911341814,0.04875506526982997,0.039915493911177324,0.02533133138723233
0.2,107,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,173,186,600,600,medium,32,4,1,64,600,600,1.2226623283817761,0.037120125633968666,0.03082153924956185,0.020247200444420695
0.2,107,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,173,186,600,600,medium,32,4,1,64,600,600,1.6400180495140138,0.03284240077381589,0.026590840490071734,0.017306787458587995
0.2,108,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,167,193,600,600,medium,32,4,1,64,600,600,0.5700246282366124,0.07876154573821342,0.05427678820929823,0.027840172498704477
0.2,108,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,167,193,600,600,medium,32,4,1,64,600,600,1.4707922486619838,0.048966485652775164,0.037656671883535435,0.0215024616431186
0.2,108,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,167,193,600,600,medium,32,4,1,64,600,600,0.923448960753288,0.05080166645723793,0.04130478147250658,0.025622978964659864
0.2,108,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,167,193,600,600,medium,32,4,1,64,600,600,1.1052811820632855,0.047121170485104114,0.037134442685705586,0.02262719997285296
0.2,108,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,167,193,600,600,medium,32,4,1,64,600,600,1.5142203216220718,0.04247130492177344,0.03345943745141867,0.02080187282309535
0.2,109,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,171,189,600,600,medium,32,4,1,64,600,600,0.546963509390054,0.0737022522720829,0.05259113909744587,0.027702381300990935
0.2,109,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,171,189,600,600,medium,32,4,1,64,600,600,0.9925363741151734,0.04609870419952666,0.03806603638281542,0.024450299425742044
0.2,109,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,171,189,600,600,medium,32,4,1,64,600,600,0.9186325810226421,0.04882929203408967,0.04056084654319663,0.026044741309216357
0.2,109,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,171,189,600,600,medium,32,4,1,64,600,600,1.3681533084205886,0.04221065807011129,0.03325263776988086,0.020247556288960997
0.2,109,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,171,189,600,600,medium,32,4,1,64,600,600,1.5032891481347743,0.03556224039578782,0.028342455239669263,0.018264102701237916
0.2,110,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,168,193,600,600,medium,32,4,1,64,600,600,0.5270034189898436,0.07384317701697299,0.05213363128592833,0.02732795208314975
0.2,110,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,168,193,600,600,medium,32,4,1,64,600,600,0.8440130726554795,0.048930622722797724,0.04058654724554978,0.025937519106470727
0.2,110,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,168,193,600,600,medium,32,4,1,64,600,600,0.8774114943082204,0.051259726062732214,0.04235790253210175,0.026767076932225138
0.2,110,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,168,193,600,600,medium,32,4,1,64,600,600,0.9890254581731188,0.05245092894792584,0.041383692882801006,0.024862857550475227
0.2,110,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,168,193,600,600,medium,32,4,1,64,600,600,1.4868779187834837,0.039363971320042795,0.031582119704564184,0.020129508550790463
0.3,101,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,168,186,600,600,medium,32,4,1,64,600,600,0.5080675112927995,0.07787367700506814,0.054889708288388635,0.0286561842169741
0.3,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,168,186,600,600,medium,32,4,1,64,600,600,1.051493233389087,0.04877536685639684,0.03816617078160935,0.02342951413423746
0.3,101,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,168,186,600,600,medium,32,4,1,64,600,600,0.915237402558015,0.05346539150552485,0.042421231003437095,0.025881353668838893
0.3,101,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,168,186,600,600,medium,32,4,1,64,600,600,1.076802821576237,0.04575190390065492,0.037049373740012395,0.023484078630712613
0.3,101,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,168,186,600,600,medium,32,4,1,64,600,600,1.4890092584042856,0.04382981661872375,0.03428065480662908,0.021241767257557737
0.3,102,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,167,187,600,600,medium,32,4,1,64,600,600,0.44954576275957514,0.08866710663260985,0.0593682760249101,0.02931164221791705
0.3,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,167,187,600,600,medium,32,4,1,64,600,600,0.8329032249434294,0.06076014785770822,0.04772356149719648,0.028053757277750134
0.3,102,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,167,187,600,600,medium,32,4,1,64,600,600,0.926968712029913,0.05626289178112219,0.044252523513816006,0.026392630225985272
0.3,102,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,167,187,600,600,medium,32,4,1,64,600,600,1.2597683921006015,0.04130923924575656,0.03238360590710341,0.01981063815068279
0.3,102,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,167,187,600,600,medium,32,4,1,64,600,600,1.5731492835664662,0.03968097609336546,0.03112987333959575,0.019449645931404733
0.3,103,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,162,189,600,600,medium,32,4,1,64,600,600,0.5582844893505275,0.07213267403922032,0.05049998244126287,0.026471580725818195
0.3,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,162,189,600,600,medium,32,4,1,64,600,600,1.7328961192054377,0.046624770420878536,0.036412990999263005,0.021483178402169564
0.3,103,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,162,189,600,600,medium,32,4,1,64,600,600,1.0069719257685907,0.045819735068526754,0.037567270080935654,0.02378555516599368
0.3,103,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,162,189,600,600,medium,32,4,1,64,600,600,1.236501034550793,0.04831504995909954,0.03814779528097415,0.023038608625396004
0.3,103,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,162,189,600,600,medium,32,4,1,64,600,600,1.563020253670784,0.03041103158746159,0.025153019776843272,0.01689776851507961
0.3,104,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,158,180,600,600,medium,32,4,1,64,600,600,0.5001641435043002,0.07604742334058774,0.05148868880002522,0.025926853152379897
0.3,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,158,180,600,600,medium,32,4,1,64,600,600,0.8971264381150587,0.056038886205468944,0.04406237063663472,0.025849645858737166
0.3,104,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,158,180,600,600,medium,32,4,1,64,600,600,0.9911880985278325,0.0551560284643454,0.04280498276677858,0.024861434417316086
0.3,104,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,158,180,600,600,medium,32,4,1,64,600,600,1.1930405482123354,0.050795952009214544,0.03831061656856355,0.021985818206965373
0.3,104,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,158,180,600,600,medium,32,4,1,64,600,600,1.5639984400134654,0.041270141968481715,0.03228241141307584,0.019938232769386166
0.3,105,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,159,191,600,600,medium,32,4,1,64,600,600,0.5277635205881575,0.07877380128368312,0.05269627985825976,0.026471868929727697
0.3,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,159,191,600,600,medium,32,4,1,64,600,600,0.8750711029237431,0.05562391441257395,0.04375082932574034,0.025845666145326567
0.3,105,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,159,191,600,600,medium,32,4,1,64,600,600,0.969756179975843,0.05234295877805093,0.04098744994289308,0.024477468744579848
0.3,105,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,159,191,600,600,medium,32,4,1,64,600,600,1.2668411657023353,0.048964715270670284,0.0373096946649371,0.021971912478496808
0.3,105,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,159,191,600,600,medium,32,4,1,64,600,600,1.5986562594107196,0.038197600790673664,0.029876681922052988,0.018613068641272802
0.3,106,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,170,189,600,600,medium,32,4,1,64,600,600,0.490681501071258,0.07878051712288171,0.05551318487345633,0.028793187026227622
0.3,106,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,170,189,600,600,medium,32,4,1,64,600,600,0.7965949687818823,0.05995346864951482,0.04838463550001382,0.02910688918990485
0.3,106,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,170,189,600,600,medium,32,4,1,64,600,600,0.9219745253943581,0.05455044401637837,0.043630896992227865,0.026530055356543777
