beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.7,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6357169903508426,0.012244089982281567,11691.0,0.7748801805830706
0.8,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.39780259368367904,0.041720682334800946,1877.0,0.9796756479392643
0.8,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.555477917032037,0.03583973894038756,3604.0,0.9367824974303339
0.8,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5762392772908984,0.03581614535214049,3833.0,0.9253836667680148
0.8,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.513020492676465,0.010776718750640533,inf,0.5174658232972174
0.8,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6380872772570197,0.011503537958057865,14321.0,0.7440330015193466
0.8,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.3473920710296271,0.051736513378943944,3024.0,0.9287607027198463
0.8,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5610336065772548,0.033227458631596464,3283.0,0.9367208330374694
0.8,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5858136379984138,0.034535255382572926,5320.0,0.8769155322976209
0.8,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.565252502773348,0.024716349536265603,58013.0,0.6647243227674469
0.8,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6310204146257112,0.007544610394934708,22703.0,0.6824700935978141
0.8,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.3622965954956293,0.06008863161936863,1924.0,0.9766121033410521
0.8,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5728412272003967,0.036242544521728,3593.0,0.9216468875123633
0.8,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5905957583356569,0.03009455320634429,3376.0,0.9464127114151644
0.8,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.5585870551175454,0.01473381792866797,56878.0,0.6083260853083183
0.8,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6398795148865725,0.015947130106817347,6283.0,0.8576355290608257
0.8,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.296301552562079,0.07517180553070225,2857.0,0.9315987230462547
0.8,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5685734183673177,0.03479722492244925,4126.0,0.9210491391266717
0.8,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5782971081323113,0.033818532972489025,3376.0,0.923097107148816
0.8,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.5934175355525249,0.016308286234968467,13988.0,0.7560847195322474
0.8,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6271015169800116,0.01696268977917786,11917.0,0.7830235764022595
0.8,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.4004157904393825,0.062170064821848975,2076.0,0.9780794131238926
0.8,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5761930986056459,0.029347086655960752,3580.0,0.9169376108792953
0.8,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5839170394639683,0.02708896589978439,4043.0,0.9099237455316764
0.8,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.6274732944331903,0.010517711400897177,24794.0,0.6938367301753514
0.8,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6242860452701964,0.015020113275900871,16809.0,0.7287496335569946
0.9,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.41449373243988796,0.05922664340942352,2170.0,0.8973866752607058
0.9,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5859238319753631,0.03671472138040257,4812.0,0.9018590938751491
0.9,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.596472010154699,0.03443104811666421,5230.0,0.8808344767985476
0.9,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.515727807159561,0.021728890637713046,5507.0,0.8670581924182222
0.9,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6186028247844891,0.010083067183960626,13219.0,0.7703219159557114
0.9,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.3669339623569357,0.08366002455733214,1926.0,0.9616934481926656
0.9,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5886322177844562,0.039679692150788516,4971.0,0.8899810126992815
0.9,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5876743121001566,0.04344602005488898,6107.0,0.8658215976159294
0.9,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.5377613634766534,0.01637227656455766,73874.0,0.5846700793775755
0.9,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6085627931601176,0.008093139636080266,22031.0,0.7102960223725158
0.9,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.4408201725448102,0.05118986338436427,2486.0,0.9781345304771267
0.9,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5810389372256586,0.04333669503352387,3157.0,0.9084714934864998
0.9,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5851810565649179,0.038297292488234144,2770.0,0.9594238693656868
0.9,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.5047774983885055,0.016586878040963062,5353.0,0.8696230116610387
0.9,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6223135120658331,0.011890529643080117,12928.0,0.7587308686669333
0.9,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.29954593380735073,0.09947125734380306,1664.0,0.9738868242259737
0.9,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5712291335014568,0.045844759636809514,4543.0,0.8926789691746659
0.9,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5872437138347392,0.04418382254663679,4082.0,0.9180665942638164
0.9,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.43727827151084475,0.02047638350742271,2830.0,0.9684117797577537
0.9,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6017563418427738,0.008751199795205023,inf,0.5152691588348157
0.9,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.45598858279850474,0.06740545336091354,3682.0,0.8833474030744952
0.9,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5861760243873585,0.03407550122140037,4040.0,0.8864699518821254
0.9,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.6002119994600175,0.03287148573324728,4506.0,0.9085223959536138
0.9,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.601163620699637,0.010662289183042654,54899.0,0.6252655473030228
0.9,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6251168085424662,0.008071556956628785,16814.0,0.7199467438427574
1.0,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.3362627041875648,0.13516806473466722,2567.0,0.9188482868320464
1.0,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5903889280713936,0.03459633424390054,6842.0,0.850021230793909
1.0,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.6007832157395918,0.03275214523235286,7107.0,0.8324396016709302
1.0,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.4692430445779986,0.021845769678820758,15439.0,0.7485386935323777
1.0,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6117234322961087,0.005805426910711784,inf,0.5193862585567682
1.0,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.35276609916444934,0.09577336658209877,3107.0,0.9326208142339331
1.0,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5887858954644114,0.03288496980368691,7325.0,0.8417429807324857
1.0,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5958946529133399,0.03156719988901169,10487.0,0.7937245304720068
1.0,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.5092671898235552,0.011405361758187163,inf,0.5509396688995201
1.0,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6416070332373174,0.0045296064653157254,inf,0.40598623491861374
1.0,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.44810124269745577,0.05892650900547538,3184.0,0.9013634093244993
1.0,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5988900920540345,0.03516070685719,5731.0,0.8833428052876059
1.0,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5964125755273665,0.03578072884709525,5834.0,0.8778177392012667
1.0,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.48196309007370003,0.02157694751894843,10256.0,0.7970464292298802
1.0,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5927929566893806,0.011654435938932733,36594.0,0.7149974705746771
1.0,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.41962447960033805,0.06257320809665569,2825.0,0.9319496483357744
1.0,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5878970805320647,0.04313807089578184,22421.0,0.7114788896358719
1.0,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5887571258973234,0.03748833874580152,7001.0,0.8460803024275313
1.0,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.5248578102712053,0.010787305043673694,7714.0,0.8411764665286666
1.0,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6012914351303088,0.00660281041402308,71112.0,0.45807281812146217
1.0,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.4558522384104348,0.061567668178016434,3963.0,0.9190514620322713
1.0,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5951035648426406,0.02874877332270416,7380.0,0.8436950019516593
1.0,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.614831250859025,0.02670692865619247,10289.0,0.7961952226821938
1.0,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.5329399907851728,0.0043369377292077444,inf,0.49844599884965124
1.0,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6124580400550488,0.004866612745079918,inf,0.4394392933926201
1.1,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.34568769039776714,0.1436663975440519,2770.0,0.9633345708914621
1.1,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5912331199833516,0.04564039947566317,8456.0,0.8236692219426367
1.1,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.6070695209256238,0.047527432274852864,12766.0,0.7659956032239944
1.1,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.48178198754688595,0.008829766754888314,inf,0.5797159564453104
1.1,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5577852119230786,0.007240246435974882,inf,0.47059415769871393
1.1,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.32771347715879817,0.13502334747518652,3624.0,0.9153276947853255
