beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.5,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.7622585283738803,0.0016372703290852377,12108973.0,0.25953953253893725
0.5,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.642051366323146,0.010555553253613953,10117.0,0.7979036593210613
0.5,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.3480742068954345,0.02692137369661693,2533.0,0.9299664463395905
0.5,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5303964443590949,0.015130610584451094,3585.0,0.9508656480469737
0.5,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5463418549543174,0.015567105403086806,4142.0,0.9526331141936673
0.5,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.6754715346662286,0.006473291091943223,1697280.0,0.5620327670804003
0.5,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.633705380934118,0.010603108264476436,7464.0,0.8460553192922482
0.5,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.3698219816449452,0.0267720220191342,3103.0,0.9234088876142508
0.5,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5445782954419609,0.013629309995709795,4122.0,0.9585116019899947
0.5,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5545622395564099,0.012712171446847198,4378.0,0.9277903530111438
0.5,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.6749367744161159,0.003509751664542678,1111116.0,0.3853591481538238
0.5,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6320930838518652,0.008724595293946784,16203.0,0.713190547709797
0.5,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.34950495718615465,0.02601682943094315,2536.0,0.9405353734307319
0.5,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.533831296558732,0.015469914556767845,3231.0,0.9824678493458714
0.5,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.539542568946559,0.013358670740503734,3164.0,0.9767582375691022
0.5,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.6594763653013622,0.008584503672419938,408516.0,0.45125757385893606
0.5,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.628183115949858,0.009202095515027816,12856.0,0.758470526584001
0.5,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.33018010436130063,0.03520723872390082,1988.0,0.9866938061192101
0.5,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5280621236493087,0.015463970770115097,3210.0,0.9786956877125856
0.5,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5511338393600747,0.013310528188517986,4162.0,0.9230169388041007
0.5,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.7516921104828045,0.006534915404650657,3995012.0,0.29533957886559364
0.5,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6502817371417363,0.011434100112891768,9726.0,0.8040999308457548
0.6,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.33558926293918423,0.029255835169633246,2117.0,0.9876714870592542
0.6,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5448532512293063,0.017145370145154416,3271.0,0.9489312963986667
0.6,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.5575392266672727,0.01719795269201026,3725.0,0.9087975996544039
0.6,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.6997716906511076,0.003729100432600488,382962.0,0.44443402876713894
0.6,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6772153503800954,0.005735537731147462,22483.0,0.6610756197609448
0.6,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.31256255092262814,0.03425285443007735,3219.0,0.9499034274332441
0.6,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5730923555941123,0.019748011208542256,3745.0,0.926889176428846
0.6,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5535729444846905,0.020325644360961532,3253.0,0.9534950259416171
0.6,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.5602252899000073,0.01153065081257316,16630.0,0.7448719715817733
0.6,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6364655432224917,0.008484022655382416,11224.0,0.7836952857569932
0.6,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.37009702540399114,0.023654285419123473,4195.0,0.910645027964341
0.6,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5497970758403887,0.015772529772981263,4095.0,0.9379287173127382
0.6,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5585523861833938,0.01619320367722489,4133.0,0.9437120686994318
0.6,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.6918538321916354,0.002164593253972874,1498687.0,0.31339633628128594
0.6,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.643501948515581,0.009703280184977337,8301.0,0.8344840790320905
0.6,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.3381832427334452,0.03662251292227581,2085.0,0.9885941853576948
0.6,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5390993275024232,0.016211550304061698,3466.0,0.9660813026195099
0.6,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5567317736128566,0.016313443500727883,3144.0,0.9699716011790237
0.6,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.6119126436261002,0.002584560002206593,154414.0,0.3627048949436239
0.6,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6363730053859873,0.010155675743054548,8946.0,0.8221229601887368
0.6,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.3536091945370313,0.04681404390777879,3480.0,0.9027521492733417
0.6,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5484355585986935,0.017177179714244536,3671.0,0.9546138897992342
0.6,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5691522850141285,0.01514517157653363,3632.0,0.9454192988552224
0.6,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.7039886515690831,0.007139656358026736,101788.0,0.5714273262322738
0.6,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6532019715852553,0.009240233031488743,10556.0,0.790154554189584
0.7,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.37460720564058925,0.04873231262787765,1586.0,0.942360352145392
0.7,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5544458227563706,0.02351001945884887,2495.0,0.9640966166980393
0.7,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.570554666776975,0.024357113995167975,2755.0,0.9581743882615879
0.7,classical_transformer_mle,42,46,global,5000,12,200,1.0,512,600,600,600,0.6429513007574097,0.010131372073191668,3885448.0,0.4934583909215419
0.7,classical_maxent_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.6480406419641935,0.01747349230221535,7738.0,0.831082366110153
0.7,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.3957003928200523,0.05266589325099266,2383.0,0.9169501012640104
0.7,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5623454519286344,0.02743358480412084,4111.0,0.911184397119128
0.7,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5574775624873652,0.02608724107770457,3295.0,0.9641401202617181
0.7,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.607351976951223,0.010103587579027408,100986.0,0.5539536468870587
0.7,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6484123811280829,0.00619010367732683,33696.0,0.6662906859300411
0.7,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.37096688878204725,0.03567003229102952,2640.0,0.9355461022328188
0.7,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5747790320374854,0.022340360696411404,2983.0,0.9548294247530192
0.7,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5901753156433912,0.023193630978038577,2906.0,0.9512580767220816
0.7,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.7074175283296879,0.00740396524391741,124470.0,0.5199343092032392
0.7,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.640263194353641,0.015183480287068236,8179.0,0.8278964386101938
