seed,curve_key,Q,R_Q
114,uniform,79,0.01910461289688498
114,spectral,79,0.0572551499727899
114,parity_sim,79,0.09191258793810038
114,parity_hw,79,0.056851230924808406
114,mse_sim,79,0.09045765107876834
114,mse_hw,79,0.05058227737113688
114,target,85,0.1117781079008099
114,uniform,85,0.02054059467069608
114,spectral,85,0.061419472870857375
114,parity_sim,85,0.09807250474203885
114,parity_hw,85,0.0609190297973275
114,mse_sim,85,0.0966054562877041
114,mse_hw,85,0.05423255057678772
114,target,92,0.12017763673887938
114,uniform,92,0.022213250002155682
114,spectral,92,0.0662461546257418
114,parity_sim,92,0.10513070209481672
114,parity_hw,92,0.0656227621400657
114,mse_sim,92,0.10366466102048243
114,mse_hw,92,0.05845892535494983
114,target,100,0.12963916543441262
114,uniform,100,0.024121358687114597
114,spectral,100,0.07172090671540308
114,parity_sim,100,0.11303269360581399
114,parity_hw,100,0.07094376021048232
114,mse_sim,100,0.111587079319625
114,mse_hw,100,0.06324703628501635
114,target,107,0.1377994850071828
114,uniform,107,0.025787899029029702
114,spectral,107,0.07647534990993383
114,parity_sim,107,0.11980719416896347
114,parity_hw,107,0.07555243495746401
114,mse_sim,107,0.11839570231279163
114,mse_hw,107,0.06740033504009459
114,target,116,0.14813196583317437
114,uniform,116,0.027926412547971267
114,spectral,116,0.08253933956894331
114,parity_sim,116,0.12833168088210795
114,parity_hw,116,0.08141411530316135
114,mse_sim,116,0.12698544194830597
114,mse_hw,116,0.07269121419213383
114,target,125,0.1582888088778158
114,uniform,125,0.03006023177080841
114,spectral,125,0.08854888545687527
114,parity_sim,125,0.13665419853424993
114,parity_hw,125,0.08720518379442008
114,mse_sim,125,0.13539623357063343
114,mse_hw,125,0.07792769160732085
114,target,135,0.16937286021693482
114,uniform,135,0.032425648894910654
114,spectral,135,0.09516299370364746
114,parity_sim,135,0.14567313332082016
114,parity_hw,135,0.09355832590463958
114,mse_sim,135,0.14453892980785213
114,mse_hw,135,0.08368323657134673
114,target,146,0.18132645348467782
114,uniform,146,0.03502094553602489
114,spectral,146,0.10236260360862495
114,parity_sim,146,0.15532702780925844
114,parity_hw,146,0.10044967545942116
114,mse_sim,146,0.15435851471528336
114,mse_hw,146,0.08993935471485466
114,target,158,0.19408888437892452
114,uniform,158,0.03784423955983032
114,spectral,158,0.11012717586388066
114,parity_sim,158,0.1655528991316066
114,parity_hw,158,0.10785383950167685
114,mse_sim,158,0.1647983320762467
114,mse_hw,158,0.0966763227632297
114,target,171,0.20759704939629667
114,uniform,171,0.040893487356567754
114,spectral,171,0.11843480461649537
114,parity_sim,171,0.17628715313035226
114,parity_hw,171,0.11574410859637776
114,mse_sim,171,0.1758008325685073
114,mse_hw,171,0.10387333943668685
114,target,184,0.22078464887688895
114,uniform,184,0.0439330715286532
114,spectral,184,0.12663585426803223
114,parity_sim,184,0.18668059185910058
114,parity_hw,184,0.12350137723486417
114,mse_sim,184,0.1864977009339436
114,mse_hw,184,0.11096720475656907
114,target,199,0.23561562531954933
114,uniform,199,0.04742831598302316
114,spectral,199,0.13596824009375746
114,parity_sim,199,0.198270562224707
114,parity_hw,199,0.13229089803939711
114,mse_sim,199,0.19847799325107274
114,mse_hw,199,0.11902720790618022
114,target,200,0.23659000819288972
114,uniform,200,0.04766087742931637
114,spectral,200,0.13658548798981596
114,parity_sim,200,0.19902843468317036
114,parity_hw,200,0.13287083387716062
114,mse_sim,200,0.19926332819128514
114,mse_hw,200,0.11955984853180392
114,target,215,0.25099574615933284
114,uniform,215,0.05114249355651263
114,spectral,215,0.1457714098971375
114,parity_sim,215,0.2101828576148698
114,parity_hw,215,0.1414810740682965
114,mse_sim,215,0.21084990836841652
114,mse_hw,215,0.12748027756759878
114,target,232,0.26685843879450655
114,uniform,232,0.05507294057814332
114,spectral,232,0.15601918528792044
114,parity_sim,232,0.22235900230560549
114,parity_hw,232,0.151042033706326
114,mse_sim,232,0.22355845385896073
114,mse_hw,232,0.13630280434088854
114,target,251,0.28402702943963326
114,uniform,251,0.05944652939470707
114,spectral,251,0.16727166834449708
114,parity_sim,251,0.23541668681750363
114,parity_hw,251,0.16148720189386742
114,mse_sim,251,0.23725885138031694
114,mse_hw,251,0.14597507138094615
114,target,271,0.30148755906755276
114,uniform,271,0.06402843956718758
114,spectral,271,0.17889211806392066
114,parity_sim,271,0.248573115618682
114,parity_hw,271,0.17221674617755153
114,mse_sim,271,0.2511393141445244
114,mse_hw,271,0.15594825748386196
114,target,292,0.31917651127235397
114,uniform,292,0.06881542444581258
114,spectral,292,0.19085161981863208
114,parity_sim,292,0.2617809537034878
114,parity_hw,292,0.18320005927607644
114,mse_sim,292,0.26515233426537077
114,mse_hw,292,0.16619767313882458
114,target,316,0.33862313624450935
114,uniform,316,0.07425629265179819
114,spectral,316,0.20422349944404378
114,parity_sim,316,0.27616856254695504
114,parity_hw,316,0.19541106893874655
114,mse_sim,316,0.28050727658710123
114,mse_hw,316,0.17764180053057677
114,target,341,0.3580525151445007
114,uniform,341,0.07989006118942397
114,spectral,341,0.21782544045942198
114,parity_sim,341,0.2904131380344775
114,parity_hw,341,0.20775913497086235
114,mse_sim,341,0.29580275492955493
114,mse_hw,341,0.1892681624743906
114,target,368,0.3781403440309307
114,uniform,368,0.08593602828336463
114,spectral,368,0.2321512354541997
114,parity_sim,368,0.30501313335354396
114,parity_hw,368,0.22068723605861623
114,mse_sim,368,0.3115760156404354
114,mse_hw,368,0.20150005349367242
114,target,398,0.3994332923894786
114,uniform,398,0.09260718680906123
114,spectral,398,0.24763855257603654
114,parity_sim,398,0.3203591263198367
114,parity_hw,398,0.23457776539494915
114,mse_sim,398,0.328259245347611
114,mse_hw,398,0.2147119596086818
114,target,400,0.4008160265766022
114,uniform,400,0.09305019562130047
114,spectral,400,0.24865529131131522
114,parity_sim,400,0.32135134717249725
114,parity_hw,400,0.23548664310229006
114,mse_sim,400,0.32934155813814486
114,mse_hw,400,0.21557898370391046
114,target,420,0.4143998053845973
114,uniform,420,0.09746840539297656
114,spectral,420,0.2587164916195034
114,parity_sim,420,0.33107240798435056
114,parity_hw,420,0.24446085536594953
114,mse_sim,420,0.3399682993799482
114,mse_hw,420,0.2241569904121089
114,target,429,0.42037122346204553
114,uniform,429,0.09944957152139504
114,spectral,429,0.2631817678834795
114,parity_sim,429,0.33533120274816675
114,parity_hw,429,0.24843245553066867
114,mse_sim,429,0.3446369138423678
114,mse_hw,429,0.22796321505718103
114,target,440,0.42755391479194854
114,uniform,440,0.10186509183723974
114,spectral,440,0.26858762236924605
114,parity_sim,440,0.34044268169868785
114,parity_hw,440,0.25323156794018387
114,mse_sim,440,0.3502506154840386
114,mse_hw,440,0.23257073969966363
114,target,460,0.44029642382262624
114,uniform,460,0.10624035980506942
114,spectral,460,0.27827288423160057
114,parity_sim,460,0.34948227262325626
114,parity_hw,460,0.2618054217568242
114,mse_sim,460,0.36020559832237053
114,mse_hw,460,0.24082499453564316
114,target,464,0.44279705820635235
114,uniform,464,0.10711285237236237
114,spectral,464,0.2801879946890312
114,parity_sim,464,0.3512521726360871
114,parity_hw,464,0.26349713484085246
114,mse_sim,464,0.36215873638467244
114,mse_hw,464,0.242457111864462
114,target,481,0.45325182431736405
114,uniform,481,0.11081145369681165
114,spectral,481,0.28824684964366204
114,parity_sim,481,0.35863830949440584
114,parity_hw,481,0.2706030683421866
114,mse_sim,481,0.3703234595185566
114,mse_hw,481,0.2493253079811417
114,target,500,0.46461436304671333
114,uniform,500,0.11492705716392801
