n,beta,score_level_raw,score_level_display,target_mass
12,1.4,10,9,0.20379554876219488
12,1.4,11,10,0.4132158512917719
12,1.5,1,0,5.338940128611088e-06
12,1.5,2,1,0.0002897163889316314
12,1.5,3,2,0.0020896427140404458
12,1.5,4,3,0.005974978224294386
12,1.5,5,4,0.012865080015946757
12,1.5,6,5,0.025045699980377156
12,1.5,7,6,0.046769599942092725
12,1.5,8,7,0.0838427219538243
12,1.5,9,8,0.14090887897794288
12,1.5,10,9,0.21050326094301192
12,1.5,11,10,0.4717050819194091
12,1.6,1,0,2.1889266728496893e-06
12,1.6,2,1,0.00013127398658894645
12,1.6,3,2,0.0010464225647129717
12,1.6,4,3,0.0033067459786620523
12,1.6,5,4,0.007868762676940949
12,1.6,6,5,0.016929985163623682
12,1.6,7,6,0.03493948560831511
12,1.6,8,7,0.06922256204386848
12,1.6,9,8,0.12857309786361862
12,1.6,10,9,0.2122755742078097
12,1.6,11,10,0.5257039009791871
12,1.7,1,0,8.8054703324598e-07
12,1.7,2,1,5.8361906078287085e-05
12,1.7,3,2,0.0005141470369688611
12,1.7,4,3,0.0017956038317764014
12,1.7,5,4,0.0047222131335818325
12,1.7,6,5,0.011228588423131297
12,1.7,7,6,0.02561029262982411
12,1.7,8,7,0.05607575781695836
12,1.7,9,8,0.11510840559047444
12,1.7,10,9,0.21003245218261826
12,1.7,11,10,0.5748532969015551
12,1.8,1,0,3.489179634004019e-07
12,1.8,2,1,2.5558165981428924e-05
12,1.8,3,2,0.000248838173195835
12,1.8,4,3,0.0009604386724282002
12,1.8,5,4,0.002791477606180106
12,1.8,6,5,0.0073357272422195875
12,1.8,7,6,0.0184910682127161
12,1.8,8,7,0.04474577757093794
12,1.8,9,8,0.10151106743445379
12,1.8,10,9,0.20470205723823182
12,1.8,11,10,0.6191876407656919
12,1.9,1,0,1.3660465837119104e-07
12,1.9,2,1,1.1058629679314758e-05
12,1.9,3,2,0.00011899208692737448
12,1.9,4,3,0.0005075749306864836
12,1.9,5,4,0.001630399830856234
12,1.9,6,5,0.004735137520860701
12,1.9,7,6,0.013191095680896088
12,1.9,8,7,0.035277709320190906
12,1.9,9,8,0.08844864025507786
12,1.9,10,9,0.19711942410286157
12,1.9,11,10,0.6589598310373054
12,2.0,1,0,5.296645963321707e-08
12,2.0,2,1,4.738776200892724e-06
12,2.0,3,2,5.6352399506771894e-05
12,2.0,4,3,0.00026565863936456183
12,2.0,5,4,0.0009430774266610954
12,2.0,6,5,0.0030270198781830915
12,2.0,7,6,0.009319508205197119
12,2.0,8,7,0.0275449475770584
12,2.0,9,8,0.07632418608337065
12,2.0,10,9,0.18798789755841594
12,2.0,11,10,0.6945265604895817
