seed_group,curve_key,Q,mean_R_Q,std_R_Q,n_aggregated_seeds
"111,112,113,114,115,116,117,118,119,120",mse_hw,68,0.0567695112243909,0.008676453708388198,10
"111,112,113,114,115,116,117,118,119,120",target,73,0.10386552574382299,0.004873888449008364,10
"111,112,113,114,115,116,117,118,119,120",uniform,73,0.01766652583556175,7.40509995618057e-18,10
"111,112,113,114,115,116,117,118,119,120",spectral,73,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,73,0.09822916238688485,0.006214773220521849,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,73,0.06303297845627961,0.010934591605281846,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,73,0.09256445638413871,0.007280369090174587,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,73,0.06059682638089122,0.009220617253992272,10
"111,112,113,114,115,116,117,118,119,120",target,79,0.111572857902338,0.005114121015203351,10
"111,112,113,114,115,116,117,118,119,120",uniform,79,0.019104612896884976,7.314236392868128e-18,10
"111,112,113,114,115,116,117,118,119,120",spectral,79,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,79,0.10515649346563527,0.006529441246119567,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,79,0.06776557497375088,0.011661714573848757,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,79,0.09903328763156898,0.0076881954834650094,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,79,0.065133701332508,0.00986002858490451,10
"111,112,113,114,115,116,117,118,119,120",target,85,0.1191696588364598,0.0053383035554259006,10
"111,112,113,114,115,116,117,118,119,120",uniform,85,0.020540594670696084,6.841841656996454e-18,10
"111,112,113,114,115,116,117,118,119,120",spectral,85,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,85,0.11194230233058644,0.0068288537489607105,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,85,0.07243807647770706,0.012367757675809023,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,85,0.1053641070147058,0.008082120741300306,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,85,0.06961098909828904,0.010485229729439733,10
"111,112,113,114,115,116,117,118,119,120",target,92,0.12789657719970846,0.0055811970756804,10
"111,112,113,114,115,116,117,118,119,120",uniform,92,0.022213250002155682,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,92,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,92,0.11968734282249975,0.007161340236405025,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,92,0.07781531585040442,0.013165973302499804,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,92,0.11258317582315953,0.008526435799140213,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,92,0.07476108503309083,0.011197476173010193,10
"111,112,113,114,115,116,117,118,119,120",target,100,0.1376959661443125,0.0058363570924387835,10
"111,112,113,114,115,116,117,118,119,120",uniform,100,0.0241213586871146,5.896925903128829e-18,10
"111,112,113,114,115,116,117,118,119,120",spectral,100,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,100,0.1283220790791596,0.007522234401098451,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,100,0.08386584785190425,0.014046161352127277,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,100,0.12062371745453285,0.009016932416591699,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,100,0.08055277691749643,0.011989939388472478,10
"111,112,113,114,115,116,117,118,119,120",target,107,0.14612246845758675,0.006041793722158773,10
"111,112,113,114,115,116,117,118,119,120",uniform,107,0.025787899029029705,3.059764607266774e-18,10
"111,112,113,114,115,116,117,118,119,120",spectral,107,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,107,0.13569616238710105,0.007823757885954335,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,107,0.08907942406284186,0.014789630296303926,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,107,0.1274843412735796,0.009433160141434747,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,107,0.08554048883757463,0.012665428535828128,10
"111,112,113,114,115,116,117,118,119,120",target,116,0.1567600115605656,0.006283897077250358,10
"111,112,113,114,115,116,117,118,119,120",uniform,116,0.02792641254797127,4.625929269271485e-18,10
"111,112,113,114,115,116,117,118,119,120",spectral,116,0.0,0.0,10
